Geography,MedianRent,MedianHouseholdIncome,TotalPopulation,InflationRates,Year,RentControl,MedianHouseholdIncomeIncreasingRate,MedianRentIncreasingRate
California,1163,57708,37349363,1.5,2010,4,0,0
Alameda County,1198,67169,1513952,1.5,2010,4,0,0
Berkeley city,1419,87385,112824,1.5,2010,1,0,0
Fremont city,1174,59890,214613,1.5,2010,4,0,0
Hayward city,1336,95941,144549,1.5,2010,2,0,0
Livermore city,991,49190,81178,1.5,2010,4,0,0
Oakland city,1469,109662,391672,1.5,2010,1,0,0
Pleasanton city,1175,65333,70456,1.5,2010,4,0,0
San Leandro city,1332,77745,85159,1.5,2010,4,0,0
Union City city,862,41657,69696,1.5,2010,4,0,0
Butte County,872,44062,220072,1.5,2010,4,0,0
Chico city,1283,73721,86213,1.5,2010,4,0,0
Contra Costa County,1267,62088,1052827,1.5,2010,4,0,0
Antioch city,1223,65695,102745,1.5,2010,4,0,0
Concord city,1264,56663,122508,1.5,2010,4,0,0
Pittsburg city,1118,46996,63510,1.5,2010,4,0,0
Richmond city,1407,115347,104059,1.5,2010,4,0,0
San Ramon city,1098,66129,72404,1.5,2010,4,0,0
El Dorado County,825,45221,181194,1.5,2010,4,0,0
Fresno County,1006,65471,933248,1.5,2010,4,0,0
Clovis city,837,41144,95915,1.5,2010,4,0,0
Fresno city,810,38492,496147,1.5,2010,4,0,0
Humboldt County,733,41802,134794,1.5,2010,4,0,0
Imperial County,821,45524,175234,1.5,2010,4,0,0
Kern County,880,53038,842207,1.5,2010,4,0,0
Bakersfield city,824,44609,348582,1.5,2010,4,0,0
Kings County,842,34910,153174,1.5,2010,4,0,0
Lake County,1147,52684,64771,1.5,2010,4,0,0
Los Angeles County,1234,68731,9830420,1.5,2010,4,0,0
Alameda city,1270,56623,73981,1.5,2010,4,0,0
Alhambra city,1148,49435,83202,1.5,2010,4,0,0
Baldwin Park city,1187,43546,75496,1.5,2010,4,0,0
Bellflower city,1083,47024,76717,1.5,2010,4,0,0
Burbank city,1296,61520,103472,1.5,2010,4,0,0
Carson city,1358,67192,91828,1.5,2010,4,0,0
Compton city,999,43728,96558,1.5,2010,4,0,0
Downey city,1168,53490,111922,1.5,2010,4,0,0
East Los Angeles CDP,888,38986,127198,1.5,2010,4,0,0
El Monte city,1033,41076,113614,1.5,2010,4,0,0
Glendale city,1249,51923,191954,1.5,2010,3,0,0
Hawthorne city,982,41541,84382,1.5,2010,4,0,0
Inglewood city,1011,40761,109799,1.5,2010,4,0,0
Lakewood city,1395,73793,80154,1.5,2010,4,0,0
Lancaster city,1034,50492,156786,1.5,2010,4,0,0
Long Beach city,1051,51426,462793,1.5,2010,4,0,0
Los Angeles city,1117,47031,3797144,1.5,2010,1,0,0
Lynwood city,987,38417,69863,1.5,2010,4,0,0
Norwalk city,1198,57149,105686,1.5,2010,4,0,0
Palmdale city,1175,53048,152944,1.5,2010,4,0,0
Pasadena city,1385,67047,137294,1.5,2010,4,0,0
Pomona city,1026,45909,149225,1.5,2010,4,0,0
Redondo Beach city,1547,90507,66825,1.5,2010,4,0,0
Santa Clarita city,1474,76384,176535,1.5,2010,4,0,0
Santa Monica city,1440,66269,89861,1.5,2010,1,0,0
South Gate city,948,39739,94503,1.5,2010,4,0,0
Torrance city,1392,69288,145618,1.5,2010,4,0,0
West Covina city,1230,62413,106221,1.5,2010,4,0,0
Whittier city,1119,60540,85433,1.5,2010,4,0,0
Madera County,877,48268,151408,1.5,2010,4,0,0
Marin County,1510,83867,252916,1.5,2010,4,0,0
Mendocino County,952,40536,87828,1.5,2010,4,0,0
Merced County,807,42449,256778,1.5,2010,4,0,0
Merced city,772,39834,79254,1.5,2010,4,0,0
Monterey County,1157,54534,416682,1.5,2010,4,0,0
Salinas city,971,47738,151031,1.5,2010,4,0,0
Napa County,1186,64401,136858,1.5,2010,4,0,0
Napa city,1146,52991,77122,1.5,2010,4,0,0
Nevada County,976,54456,98794,1.5,2010,4,0,0
Orange County,1402,70880,3018963,1.5,2010,4,0,0
Anaheim city,1240,54157,337259,1.5,2010,4,0,0
Buena Park city,1317,61262,80766,1.5,2010,4,0,0
Costa Mesa city,1398,63570,110253,1.5,2010,4,0,0
Fullerton city,1334,65360,135541,1.5,2010,4,0,0
Garden Grove city,1276,60974,171386,1.5,2010,4,0,0
Huntington Beach city,1437,72469,190541,1.5,2010,4,0,0
Irvine city,1705,85615,212982,1.5,2010,4,0,0
Lake Forest city,1624,91670,77482,1.5,2010,4,0,0
Mission Viejo city,1749,92838,93585,1.5,2010,4,0,0
Newport Beach city,1809,97140,85442,1.5,2010,4,0,0
Orange city,1397,72784,136803,1.5,2010,4,0,0
Santa Ana city,1248,51467,325483,1.5,2010,4,0,0
Tustin city,1372,73889,75769,1.5,2010,4,0,0
Westminster city,1161,49889,89971,1.5,2010,4,0,0
Yorba Linda city,1844,100788,64414,1.5,2010,4,0,0
Placer County,1114,67884,350048,1.5,2010,4,0,0
Roseville city,1131,69932,119335,1.5,2010,4,0,0
Riverside County,1121,54296,2203332,1.5,2010,4,0,0
Corona city,1296,74015,153335,1.5,2010,4,0,0
Hemet city,918,31739,79157,1.5,2010,4,0,0
Indio city,856,36355,76512,1.5,2010,4,0,0
Menifee city,1127,52739,78018,1.5,2010,4,0,0
Moreno Valley city,1266,48907,194592,1.5,2010,4,0,0
Murrieta city,1267,70962,104108,1.5,2010,4,0,0
Perris city,1110,45251,68816,1.5,2010,4,0,0
Riverside city,1081,53847,305707,1.5,2010,4,0,0
Temecula city,1252,70194,100751,1.5,2010,4,0,0
Sacramento County,980,52709,1421959,1.5,2010,4,0,0
Arden-Arcade CDP,838,41476,87272,1.5,2010,4,0,0
Citrus Heights city,952,50280,83490,1.5,2010,4,0,0
Elk Grove city,1374,75590,153401,1.5,2010,4,0,0
Folsom city,1238,93620,72348,1.5,2010,4,0,0
Sacramento city,961,46731,467503,1.5,2010,4,0,0
San Bernardino County,1035,52607,2042441,1.5,2010,4,0,0
Apple Valley town,1012,46250,69387,1.5,2010,4,0,0
Chino city,1154,70942,78237,1.5,2010,4,0,0
Chino Hills city,1715,100099,75070,1.5,2010,4,0,0
Fontana city,1039,58579,196778,1.5,2010,4,0,0
Hesperia city,939,42651,90486,1.5,2010,4,0,0
Ontario city,1251,53764,164517,1.5,2010,4,0,0
Rancho Cucamonga city,1364,76640,165858,1.5,2010,4,0,0
Redlands city,1061,71758,68994,1.5,2010,4,0,0
Rialto city,1064,46818,99530,1.5,2010,4,0,0
San Bernardino city,874,38640,210670,1.5,2010,4,0,0
Upland city,1082,61497,73991,1.5,2010,4,0,0
Victorville city,969,52062,116305,1.5,2010,4,0,0
San Diego County,1249,59923,3105989,1.5,2010,4,0,0
Carlsbad city,1531,77097,105707,1.5,2010,4,0,0
Chula Vista city,1263,66246,244789,1.5,2010,4,0,0
El Cajon city,1020,43435,99841,1.5,2010,4,0,0
Escondido city,1157,43102,144402,1.5,2010,4,0,0
Oceanside city,1354,62422,167680,1.5,2010,4,0,0
San Diego city,1260,60037,1311886,1.5,2010,3,0,0
San Marcos city,1297,47942,84079,1.5,2010,4,0,0
Vista city,1237,46033,94170,1.5,2010,4,0,0
San Francisco County,1385,71745,805463,1.5,2010,4,0,0
San Francisco city,1385,71745,805463,1.5,2010,1,0,0
San Joaquin County,995,50011,687744,1.5,2010,4,0,0
Manteca city,1130,57082,67338,1.5,2010,4,0,0
Stockton city,928,45606,292747,1.5,2010,4,0,0
Tracy city,1286,70894,83223,1.5,2010,4,0,0
San Luis Obispo County,1137,53978,270113,1.5,2010,4,0,0
San Mateo County,1447,82748,720162,1.5,2010,4,0,0
Daly City city,1434,72307,101361,1.5,2010,4,0,0
Redwood City city,1303,76468,77013,1.5,2010,4,0,0
San Mateo city,1521,82075,97461,1.5,2010,4,0,0
Santa Barbara County,1267,56767,424712,1.5,2010,4,0,0
Santa Barbara city,1363,61245,88579,1.5,2010,4,0,0
Santa Maria city,1115,51450,99747,1.5,2010,4,0,0
Santa Clara County,1418,85002,1787694,1.5,2010,4,0,0
Milpitas city,1578,92398,67011,1.5,2010,4,0,0
Mountain View city,1419,90993,74320,1.5,2010,4,0,0
San Jose city,1371,76794,949197,1.5,2010,3,0,0
Santa Clara city,1445,81366,116864,1.5,2010,4,0,0
Sunnyvale city,1392,95582,140549,1.5,2010,4,0,0
Santa Cruz County,1284,61071,263054,1.5,2010,4,0,0
Shasta County,885,41023,177291,1.5,2010,4,0,0
Redding city,869,40741,89901,1.5,2010,4,0,0
Solano County,1201,63384,414305,1.5,2010,4,0,0
Fairfield city,1168,61603,105580,1.5,2010,4,0,0
Vacaville city,1384,71706,92623,1.5,2010,4,0,0
Vallejo city,1095,56209,116217,1.5,2010,4,0,0
Sonoma County,1204,59055,485120,1.5,2010,4,0,0
Santa Rosa city,1179,54666,168244,1.5,2010,4,0,0
Stanislaus County,978,48044,515358,1.5,2010,4,0,0
Modesto city,1001,47983,201520,1.5,2010,4,0,0
Turlock city,914,53605,68663,1.5,2010,4,0,0
Sutter County,791,46521,94806,1.5,2010,4,0,0
Tulare County,798,43397,443688,1.5,2010,4,0,0
Visalia city,891,51464,124866,1.5,2010,4,0,0
Ventura County,1381,71864,825706,1.5,2010,4,0,0
Camarillo city,1508,72193,65406,1.5,2010,4,0,0
Oxnard city,1222,61316,198484,1.5,2010,4,0,0
San Buenaventura (Ventura) city,1276,60722,106730,1.5,2010,4,0,0
Simi Valley city,1564,84507,124596,1.5,2010,4,0,0
Thousands Oaks ,1885,95281,127041,1.5,2010,3,0,0
Yolo County,1056,55798,201190,1.5,2010,4,0,0
Davis city,1225,58771,65740,1.5,2010,4,0,0
Yuba County,807,45755,72388,1.5,2010,4,0,0
Walnut Creek city,NA,NA,NA,1.5,2010,4,0,0
Florence-Graham CDP,NA,NA,NA,1.5,2010,4,0,0
Rancho Cordova city,NA,NA,NA,1.5,2010,4,0,0
Palo Alto city,NA,NA,NA,1.5,2010,4,0,0
Yuba City city,NA,NA,NA,1.5,2010,4,0,0
Jurupa Valley city,NA,NA,NA,1.5,2010,4,0,0
South San Francisco city,NA,NA,NA,1.5,2010,4,0,0
South Whittier CDP,NA,NA,NA,1.5,2010,4,0,0
San Clemente city,NA,NA,NA,1.5,2010,4,0,0
Carmichael CDP,NA,NA,NA,1.5,2010,4,0,0
Laguna Niguel city,NA,NA,NA,1.5,2010,4,0,0
Castro Valley CDP,NA,NA,NA,1.5,2010,4,0,0
Madera city,NA,NA,NA,1.5,2010,4,0,0
Lake Elsinore city,NA,NA,NA,1.5,2010,4,0,0
Lodi city,NA,NA,NA,1.5,2010,4,0,0
Santa Cruz city,NA,NA,NA,1.5,2010,4,0,0
Rocklin city,NA,NA,NA,1.5,2010,4,0,0
Tehama County,NA,NA,NA,1.5,2010,4,0,0
Tulare city,NA,NA,NA,1.5,2010,4,0,0
California,1174,57287,37691912,3,2011,4,-0.007295349,0.009458298
Alameda County,1244,67558,1529875,3,2011,4,0.005791362,0.038397329
Berkeley city,1199,61351,113893,3,2011,1,0.083499638,-0.055905512
Fremont city,1528,92655,216912,3,2011,4,0.060307833,0.076814658
Hayward city,1226,56332,146083,3,2011,2,-0.059408916,0.044293015
Livermore city,1419,97047,82056,3,2011,4,0.011527918,0.062125749
Oakland city,1049,50500,395811,3,2011,1,0.026631429,0.058526741
Pleasanton city,1633,120437,71206,3,2011,4,0.098256461,0.111640572
San Leandro city,1224,60703,86067,3,2011,4,-0.070867709,0.041702128
Union City city,1404,73004,70441,3,2011,4,-0.060981414,0.054054054
Butte County,827,39179,220266,3,2011,4,-0.059485801,-0.040603248
Chico city,854,35990,86287,3,2011,4,-0.183196405,-0.020642202
Contra Costa County,1279,74353,1066096,3,2011,4,0.008572863,-0.003117693
Antioch city,1327,66289,104027,3,2011,4,0.067662028,0.047355959
Concord city,1166,60391,124059,3,2011,4,-0.080736738,-0.046606705
Pittsburg city,1293,54175,64307,3,2011,4,-0.043908724,0.022943038
Richmond city,1131,51652,105389,3,2011,4,0.099072261,0.011627907
San Ramon city,1655,121756,73338,3,2011,4,0.05556278,0.176261549
El Dorado County,993,61084,180938,3,2011,4,-0.076290281,-0.095628415
Fresno County,857,42807,942904,3,2011,4,-0.053382278,0.038787879
Clovis city,960,61870,96909,3,2011,4,-0.055001451,-0.045725646
Fresno city,866,40533,501365,3,2011,4,-0.014850282,0.034647551
Humboldt County,876,41187,134761,3,2011,4,0.070014548,0.081481481
Imperial County,713,37843,177057,3,2011,4,-0.094708387,-0.02728513
Kern County,839,45224,851710,3,2011,4,-0.006589931,0.021924482
Bakersfield city,936,51667,352429,3,2011,4,-0.025849391,0.063636364
Kings County,916,50345,153765,3,2011,4,0.128583918,0.111650485
Lake County,945,35991,64323,3,2011,4,0.030965339,0.122327791
Los Angeles County,1161,52280,9889056,3,2011,4,-0.007668362,0.012205754
Alameda city,1273,66781,74770,3,2011,4,-0.028371477,0.031604538
Alhambra city,1139,53233,83703,3,2011,4,0.076828158,-0.007839721
Baldwin Park city,1153,49664,75937,3,2011,4,0.140495109,-0.028643639
Bellflower city,1124,42209,77179,3,2011,4,-0.102394522,0.037857802
Burbank city,1276,64147,104096,3,2011,4,0.04270156,-0.015432099
Carson city,1275,71263,92387,3,2011,4,0.06058757,-0.061119293
Compton city,1026,39234,97166,3,2011,4,-0.102771679,0.027027027
Downey city,1148,53202,112578,3,2011,4,-0.005384184,-0.017123288
East Los Angeles CDP,945,34055,131741,3,2011,4,-0.126481301,0.064189189
El Monte city,1036,33829,114294,3,2011,4,-0.176429058,0.002904163
Glendale city,1200,47647,193113,3,2011,3,-0.082352715,-0.039231385
Hawthorne city,980,42723,84897,3,2011,4,0.028453817,-0.00203666
Inglewood city,1043,37999,110463,3,2011,4,-0.06776085,0.03165183
Lakewood city,1450,69610,80648,3,2011,4,-0.056685593,0.039426523
Lancaster city,1000,47198,157698,3,2011,4,-0.065238058,-0.032882012
Long Beach city,1064,51214,465584,3,2011,4,-0.004122428,0.012369172
Los Angeles city,1135,46148,3819708,3,2011,1,-0.018774851,0.016114593
Lynwood city,1013,41875,70259,3,2011,4,0.090012234,0.026342452
Norwalk city,1229,54411,106308,3,2011,4,-0.04790985,0.025876461
Palmdale city,1134,50394,153874,3,2011,4,-0.050030161,-0.034893617
Pasadena city,1294,72265,138086,3,2011,4,0.077826003,-0.065703971
Pomona city,1122,47229,150126,3,2011,4,0.028752532,0.093567251
Redondo Beach city,1609,97547,67231,3,2011,4,0.077784039,0.040077569
Santa Clarita city,1447,78738,177589,3,2011,4,0.030817972,-0.018317503
Santa Monica city,1417,66747,90373,3,2011,1,0.007213026,-0.015972222
South Gate city,965,37385,95088,3,2011,4,-0.059236518,0.017932489
Torrance city,1363,73744,146467,3,2011,4,0.06431128,-0.020833333
West Covina city,1296,63895,106864,3,2011,4,0.023745053,0.053658537
Whittier city,1154,69106,85933,3,2011,4,0.141493228,0.031277927
Madera County,787,46570,152925,3,2011,4,-0.035178586,-0.102622577
Marin County,1480,77168,255031,3,2011,4,-0.079876471,-0.01986755
Mendocino County,1019,42431,87553,3,2011,4,0.046748569,0.070378151
Merced County,814,40055,259898,3,2011,4,-0.056397088,0.008674102
Merced city,767,38546,80234,3,2011,4,-0.032334187,-0.006476684
